address,category,id,lat,lng,location,name,originalId,polarity,subCategory,numReviews,reviews,details
Via Dei Corneli 25,restaurant,13448,41.865968793254,12.545200692326,Rome,Grandma Bistrot,4f0df034e4b0254b4d477c7f,4,Italian Restaurant,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13448,http://tour-pedia.org/api/getPlaceDetails?id=13448
Via del Pigneto,attraction,1873,41.888699680459,12.530287389472,Rome,Pigneto,4c0ea74ac6cf76b0f3148151,4,Neighborhood,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1873,http://tour-pedia.org/api/getPlaceDetails?id=1873
Via Alessandro Volta 36,attraction,731,41.87864,12.477616,Rome,La Fraschetta di Mastro Giorgio,4b7a9e9ef964a520df332fe3,4,Winery,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=731,http://tour-pedia.org/api/getPlaceDetails?id=731
"Via Aurelia, 481, Rome, Italy",accommodation,1034,41.896316,12.424906,Rome,Domus Mariae Palazzo Carpegna Hotel,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1034,http://tour-pedia.org/api/getPlaceDetails?id=1034
"Viale del Parco Mellini, 88-90-92",restaurant,134,41.923489,12.452782,Rome,Lo Zodiaco,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=134,http://tour-pedia.org/api/getPlaceDetails?id=134
"Via della Conciliazione, 5, Rome, Italy",restaurant,656,41.902184,12.462564,Rome,Universal Bar,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=656,http://tour-pedia.org/api/getPlaceDetails?id=656
"Piazza di Pasquino, 1, Rome, Italy",restaurant,965,41.897978,12.471991,Rome,Ristorante Pizzeria Pasquino,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=965,http://tour-pedia.org/api/getPlaceDetails?id=965
"Via Merulana, 32, Roma, Italia",restaurant,2948,41.894875,12.500452,Rome,Il Pasticciaccio,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2948,http://tour-pedia.org/api/getPlaceDetails?id=2948
"Via Cavour, 300, Rome, Italy",restaurant,13010,41.893577,12.489255,Rome,Barrique Ristorante Enoteca,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13010,http://tour-pedia.org/api/getPlaceDetails?id=13010
,restaurant,13133,41.830187353013,12.465474649935,Rome,buddha restaurant & Wok Laghetto Eur,4ef1d0685c5cd8c3b1b8ed36,4,Asian Restaurant,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13133,http://tour-pedia.org/api/getPlaceDetails?id=13133
Via degli Ausoni 62-64,attraction,1624,41.898264,12.517118,Rome,Celestino,4bf7a0f24a67c928fbf723cf,4,Bar,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1624,http://tour-pedia.org/api/getPlaceDetails?id=1624
"Rome,   Italy    Via G. Frescobaldi 5, Flaminio, 00197 Rome",accommodation,12,41.917607996811,12.491449713707,Rome,Parco dei Principi Grand Hotel & SPA,,4,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=12,http://tour-pedia.org/api/getPlaceDetails?id=12
Centro Commerciale Porta di Roma,restaurant,1598,41.970868139458,12.541654265448,Rome,Old Wild West,4bf4416fe5eba593ad711f90,4,Steakhouse,17,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1598,http://tour-pedia.org/api/getPlaceDetails?id=1598
"Via Emilio Faà di Bruno, 25, Rome, Italy",restaurant,439,41.914011,12.457077,Rome,Giacomelli,,4,,17,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=439,http://tour-pedia.org/api/getPlaceDetails?id=439
